window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-07,3,1536,1536,10.260021441066245,34,1.0,0,0,0.0,0
1,0,1,2,decentr-07,1,512,512,7.776550819647107,34,1.0,0,0,0.006589278025785461,0
2,1,0,2,decentr-07,2,1024,1024,9.741797719592752,34,1.0,0,0,0.006589278025785461,0
3,1,1,2,decentr-07,1,512,512,7.959744685843856,34,1.0,0,0,0.013591062015620992,0
4,2,0,2,decentr-07,2,1024,1024,9.675831755617526,34,1.0,0,0,0.013591062015620992,0
5,2,1,2,decentr-07,1,512,512,9.715692227092452,34,1.0,0,0,0.020294180023483932,0
6,3,0,2,decentr-07,3,1536,1536,10.664080166300712,34,1.0,0,0,0.020294180023483932,0
7,3,1,2,decentr-07,1,512,512,7.713444078609226,34,1.0,0,0,0.028552718024002388,0
8,4,0,2,decentr-07,2,1024,1024,10.10654779483621,34,1.0,0,0,0.028552718024002388,0
9,4,1,2,decentr-07,1,512,512,7.924389408740713,34,1.0,0,0,0.037142197019420564,0
10,5,0,2,decentr-07,3,1536,1536,10.957720380344828,34,1.0,0,0,0.037142197019420564,0
11,5,1,2,decentr-07,1,512,512,10.306119424682942,34,1.0,0,0,0.043523959000594914,0
12,6,0,2,decentr-07,3,1536,1536,9.756560754627063,34,1.0,0,0,0.043523959000594914,0
13,6,1,2,decentr-07,1,512,512,10.12501911911229,34,1.0,0,0,0.05095196500769816,0
14,7,0,2,decentr-07,4,2048,2048,10.469735943502943,34,1.0,0,0,0.05095196500769816,0
15,7,1,2,decentr-07,1,512,512,10.113936879611256,34,1.0,0,0,0.05790566100040451,0
16,8,0,2,decentr-07,4,2048,2048,10.804165952355627,34,1.0,0,0,0.05790566100040451,0
17,8,1,2,decentr-07,1,512,512,10.327987417788862,34,1.0,0,0,0.06456321800942533,0
18,9,0,2,decentr-07,3,1536,1536,11.078585026435645,34,1.0,0,0,0.06456321800942533,0
19,9,1,2,decentr-07,1,512,512,8.165276011981664,34,1.0,0,0,0.07158205800806172,0
20,10,0,2,decentr-07,2,1024,1024,10.071381655428285,34,1.0,0,0,0.07158205800806172,0
21,10,1,2,decentr-07,2,1024,1024,9.88535905822857,34,1.0,0,0,0.07864093501120806,0
22,11,0,2,decentr-07,3,1536,1536,9.948392840897487,34,1.0,0,0,0.07864093501120806,0
23,11,1,2,decentr-07,1,512,512,7.822905086150926,34,1.0,0,0,0.08626780600752681,0
24,12,0,2,decentr-07,2,1024,1024,9.837193229514774,34,1.0,0,0,0.08626780600752681,0
25,12,1,2,decentr-07,1,512,512,10.070600993676244,34,1.0,0,0,0.09533312602434307,0
