epoch,local_train_loss,local_train_accuracy,local_train_macro_f1,samples_processed,duration_s,mixed_peer_updates,mixed_senders,dropped_peer_updates,dropped_peer_senders,drop_reasons,nonfinite_peer_updates,max_staleness,max_normalized_staleness,stale_mixed_peer_updates,hard_dropped_stale_peer_updates,pushes_sent,failed_pushes_total,push_elapsed_s,push_failed_targets,push_failure_reasons,window_count,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1,state_digest,last_step,windows,samples_per_s
1,2.398373710698095,0.14124668435013263,0.13896781770613106,3016,484.45429102602066,33,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,16,16.0,22,0,44,0,129.98120157711674,[],[],2,2.2296094047546386,0.199,0.12820831788997095,2.2271901292800904,0.2046,0.13301737053184276,5863b36e0b0ed1caca6b360d08fe7f0a229b48fdcc5c870e0faa5286c5f54cdf,95,"[{'window_id': 0, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 1992, 'duration_s': 188.35543724297895}, {'window_id': 1, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 98.00890635399264}]",6.225561535666131
2,2.1214753314852715,0.2216796875,0.20660194552607947,1024,312.0383789850166,20,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,20,20.0,10,0,20,0,59.320083832077216,[],[],2,2.2520532062530516,0.2186,0.1453337280411889,2.2504368801116943,0.2174,0.14660747278214234,bc225734142b079895ef56e1400d27491daae37692f797cf60249cb0773e1ded,127,"[{'window_id': 2, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 64.60275009399629}, {'window_id': 3, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 49.25422611599788}]",3.2816476079987913
3,2.069370677952323,0.22959183673469388,0.22279631581649956,3528,528.3667130850081,42,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,50,50.0,27,0,52,0,149.47986202998436,[],[],2,2.08408976020813,0.2784,0.2187156798366326,2.0686477653503417,0.284,0.22347488098499388,451b6478b46245b43de9b158c34dec7d7c45cbc619075934414c961b40ed0f84,238,"[{'window_id': 4, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 5, 'samples_processed': 2504, 'duration_s': 234.50100038500386}, {'window_id': 5, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 95.96480656700442}]",6.677180663787171
4,2.009174342353504,0.25,0.24561957094327402,2504,432.84518908697646,15,"['decentr-01', 'decentr-05', 'decentr-09', 'decentr-11']",0,[],[],0,100,100.0,15,0,40,0,112.20091221286566,[],[],2,2.1782798084259034,0.241,0.17682951115599993,2.1540513248443602,0.2407,0.17568853578151672,700b9a1ea4facf3fc5c7a661592737fbad138adf4428addcc901449bdc4a9b1a,317,"[{'window_id': 6, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1480, 'duration_s': 143.54575790802483}, {'window_id': 7, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 92.2441121750162}]",5.784978239637644
5,1.877847604096507,0.29233226837060705,0.2835424008066429,2504,439.38847239900497,25,"['decentr-01', 'decentr-02', 'decentr-05', 'decentr-08', 'decentr-09', 'decentr-11']",0,[],[],0,105,105.0,25,0,40,0,114.59940960395033,[],[],2,2.079918459701538,0.2734,0.21671284241494493,2.0720338851928712,0.2744,0.21721919328222516,a58d0b2e034f2bcc44fc55327bb3247cc5f5210f506de37458330fc2a8c64491,396,"[{'window_id': 8, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 148.6953923300025}, {'window_id': 9, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 968, 'duration_s': 94.87811523099663}]",5.698829526246967
6,1.8472410295718014,0.3011182108626198,0.29506977958552183,2504,437.46441627899185,37,"['decentr-02', 'decentr-06', 'decentr-08', 'decentr-12', 'decentr-14', 'decentr-18']",0,[],[],0,110,110.0,22,0,40,0,112.58441363507882,[],[],2,1.8335712211608888,0.3424,0.2817198119121549,1.828295330619812,0.3499,0.2883543423935532,f54348837ddda5c4c65817ab07800f5076a74c3b0f6ed0a288a3a9abfa4af7c9,475,"[{'window_id': 10, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 146.8748652059876}, {'window_id': 11, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 968, 'duration_s': 95.80349856198882}]",5.723894119889011
7,1.8054567232680396,0.33027156549520764,0.32641281421927065,2504,440.9514463500236,39,"['decentr-02', 'decentr-04', 'decentr-06', 'decentr-08', 'decentr-12', 'decentr-14', 'decentr-18']",0,[],[],0,110,110.0,24,0,40,0,114.34410283190664,[],[],2,1.9700062351226806,0.3212,0.25684061846032363,1.9659304275512695,0.3264,0.26341917656356306,0be97d2d25fa307c78ef089861c5ac3c45bed16a95a58a628fa99e7fdac183ab,554,"[{'window_id': 12, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 1992, 'duration_s': 182.10977101599565}, {'window_id': 13, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 61.378626276011346}]",5.6786297464876565
8,1.7413450921305453,0.3422523961661342,0.33884543539331113,2504,436.6356282180059,31,"['decentr-04', 'decentr-06', 'decentr-10', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-18']",0,[],[],0,100,100.0,20,0,40,0,113.72639992897166,[],[],2,1.9242985660552978,0.3154,0.2743385256464651,1.9252968042373657,0.3133,0.27594591246057515,9807ef3f08b7b62d315d0cef09a1b908ad49c63902984b92f4194310e6b417af,633,"[{'window_id': 14, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1480, 'duration_s': 145.51777832899825}, {'window_id': 15, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 96.99277802501456}]",5.734758774081965
9,1.7721471443724708,0.34584664536741216,0.3401360323104786,2504,429.31492733801133,17,"['decentr-04', 'decentr-10', 'decentr-13']",0,[],[],0,110,110.0,17,0,40,0,110.4743882699695,[],[],2,1.8606403636932374,0.3472,0.3050491437206896,1.8627025594711304,0.3499,0.31125331698002057,b00797d348e51b79614f6f79bc3c26ca9a157243efbc83ee73ef40be49341d4e,712,"[{'window_id': 16, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 141.06184115001815}, {'window_id': 17, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 968, 'duration_s': 93.37512079998851}]",5.83254818444394
10,1.7700404046823421,0.3422523961661342,0.3393774330444114,2504,433.0966872369754,7,"['decentr-03', 'decentr-07', 'decentr-10']",0,[],[],0,160,160.0,7,0,40,0,114.32439103091019,[],[],2,1.837101340484619,0.3554,0.32716093603770446,1.8306866264343262,0.3695,0.34193180942032,bea2520084f12fcdcef60f5c90fd3b2320c6cf50fa9783c8d333fc520e10d258,791,"[{'window_id': 18, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 1992, 'duration_s': 179.2187912450172}, {'window_id': 19, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 59.40403293501004}]",5.78161891741716
