epoch,local_train_loss,local_train_accuracy,local_train_macro_f1,samples_processed,duration_s,mixed_peer_updates,mixed_senders,dropped_peer_updates,dropped_peer_senders,drop_reasons,nonfinite_peer_updates,max_staleness,max_normalized_staleness,stale_mixed_peer_updates,hard_dropped_stale_peer_updates,pushes_sent,failed_pushes_total,push_elapsed_s,push_failed_targets,push_failure_reasons,window_count,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1,state_digest,last_step,windows,samples_per_s
1,2.4248436242341995,0.13134765625,0.12154857114680273,2048,415.0299702009943,31,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,6,6.0,2,0,32,0,102.93791232598596,[],[],2,2.2080883979797363,0.1678,0.08896660170254338,2.210615520477295,0.1655,0.09289721044858174,a2cb7eda12e98c7c0cdf8ea13fe8723042706e38c8723155f4b314faea9bc8ad,64,"[{'window_id': 0, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 149.74119279699516}, {'window_id': 1, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 64.43805039700237}]",4.934583396491046
2,2.2016787280639014,0.1953125,0.1774144055124136,1536,368.937774127,26,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,14,14.0,9,0,28,0,81.07189158900292,[],[],2,2.0947495141983032,0.2124,0.15274555502930137,2.093681047439575,0.2122,0.14911725126126024,b1ae6c71e8025542861072809e6994ca1e1397fc7c52e19c5242fadc300aa59c,112,"[{'window_id': 2, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 102.95884931899491}, {'window_id': 3, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 63.011192106991075}]",4.163303699748729
3,2.181733436882496,0.19466145833333334,0.18415344115905757,1536,357.4531903770112,26,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,70,70.0,21,0,24,0,68.5781020259601,[],[],2,2.0738315326690673,0.212,0.15812217490995037,2.0706610008239745,0.2114,0.1568191360546391,2822563389c438c728b3902db861278827d745e19ca2b59d6b6f3f40d258515c,160,"[{'window_id': 4, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 102.3350540450192}, {'window_id': 5, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.70335913001327}]",4.297066137191161
4,2.0357587411999702,0.24934895833333334,0.24100594885705223,1536,369.7080921419838,21,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,120,120.0,20,0,24,0,68.85396269100602,[],[],2,2.0620544486999512,0.2696,0.21708712222212964,2.05802766456604,0.2711,0.22003778161404713,f82a4e5b4cb33c5ba270f0930839db8119878d67a011d0c2f079f0ec37a0aacf,208,"[{'window_id': 6, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 101.57306731998688}, {'window_id': 7, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.333591442002216}]",4.1546291050889685
5,2.0330586855610213,0.2421875,0.2358450041245726,1536,368.68365244800225,26,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,143,143.0,23,0,24,0,70.60233392202645,[],[],2,2.013626190185547,0.2704,0.21871030693230695,2.0083742786407472,0.2794,0.2277783027893329,3ac3138d620b526257c0d87713374a2b3dcb99a85d50e033e03fb692f49c8759,256,"[{'window_id': 8, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 108.24025525999605}, {'window_id': 9, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 51.46426022000378}]",4.166173329902746
6,1.9333707362413406,0.29609375,0.2898784503889367,2560,453.86876047600526,25,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,140,140.0,24,0,36,0,105.43954412001767,[],[],2,1.949140895843506,0.2938,0.24452785233426017,1.941769483947754,0.2837,0.2353724189336556,1bf0986249495caadc6eac09fe518566f7c0a4d8f2caf0cd4af283dfd8635a4b,336,"[{'window_id': 10, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 193.4543336009956}, {'window_id': 11, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.49373993597692}]",5.640397011054785
7,1.858138918876648,0.31875,0.31530764234787056,2560,449.60780865701963,22,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,140,140.0,22,0,36,0,104.73099753487622,[],[],2,1.9232922180175782,0.2886,0.2211157232948125,1.9087705699920654,0.2926,0.22834568416249296,f437ca7f9867d43b70dd09c77979f3c68528fbc66bade48e70406b15ef1243a2,416,"[{'window_id': 12, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 190.72058124098112}, {'window_id': 13, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.844110947015}]",5.69385128707335
8,1.8297592267394065,0.326953125,0.3144245866254208,2560,442.7220932790078,26,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-05', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-18', 'decentr-19']",0,[],[],0,140,140.0,25,0,36,0,102.65888090195949,[],[],2,1.9810210403442383,0.306,0.23957824529126173,1.9735898986816407,0.3005,0.23427916856044906,8df3d8df3aa7445658449a8dcd566c05224ed5bc758f27cd73827a24814c0f61,496,"[{'window_id': 14, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 190.7203429210058}, {'window_id': 15, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 48.399155908991816}]",5.782408510583778
9,1.8203438237309455,0.338671875,0.32757656378516187,2560,447.9871594220167,21,"['decentr-02', 'decentr-05', 'decentr-11', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,108,108.0,20,0,36,0,103.51930142994388,[],[],2,1.6947217414855957,0.379,0.3361753434793808,1.685622800064087,0.3896,0.3478278919271937,81caf1554cecfb854f40f1ec705f4797e824a6ee78e521ff51f9a96aadecc522,576,"[{'window_id': 16, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 188.05539035901893}, {'window_id': 17, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 51.68431469099596}]",5.714449501862634
10,1.7843032367527485,0.35009765625,0.3351136154220836,2048,406.73246975199436,22,"['decentr-02', 'decentr-03', 'decentr-05', 'decentr-06', 'decentr-09', 'decentr-11', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,100,100.0,21,0,32,0,92.07772440303233,[],[],2,1.7976975870132446,0.337,0.2962184581172588,1.788617275428772,0.3434,0.3019702489519036,26f1bb00bd9ce9561c8c3bfae2b439fb9054f091a42cdf71e5b93dae3977fa91,640,"[{'window_id': 18, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 152.99471141098184}, {'window_id': 19, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.299709495011484}]",5.0352508154777285
