window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-06,3,1536,1536,17.338397231243544,29,1.0,0,0,0.0,0
1,0,1,2,decentr-06,2,1024,1024,16.598592350056425,29,1.0,0,0,0.007627699000295252,0
2,1,0,2,decentr-06,4,2048,2048,17.26687031333421,29,1.0,0,0,0.007627699000295252,0
3,1,1,2,decentr-06,1,512,512,17.066016586251237,29,1.0,0,0,0.013447161996737123,0
4,2,0,2,decentr-06,4,2048,2048,17.33219231162643,29,1.0,0,0,0.013447161996737123,0
5,2,1,2,decentr-06,2,1024,1024,17.10439996076018,29,1.0,0,0,0.0195795810141135,0
6,3,0,2,decentr-06,4,2048,2048,17.329071102993364,29,1.0,0,0,0.0195795810141135,0
7,3,1,2,decentr-06,1,512,512,17.171962942557457,29,1.0,0,0,0.025979566999012604,0
8,4,0,2,decentr-06,4,2048,2048,17.35503728177176,29,1.0,0,0,0.025979566999012604,0
9,4,1,2,decentr-06,1,512,512,16.94062633490651,29,1.0,0,0,0.03492891800124198,0
10,5,0,2,decentr-06,1,512,512,15.205291650973171,29,1.0,0,0,0.03492891800124198,0
11,5,1,2,decentr-06,1,512,512,16.928135989762467,29,1.0,0,0,0.041137485997751355,0
12,6,0,2,decentr-06,3,1536,1536,16.896613169207658,29,1.0,0,0,0.041137485997751355,0
13,6,1,2,decentr-06,1,512,512,15.623795564048411,29,1.0,0,0,0.04739250199054368,0
14,7,0,2,decentr-06,3,1536,1536,17.302898257736953,29,1.0,0,0,0.04739250199054368,0
15,7,1,2,decentr-06,1,512,512,17.06181096968115,29,1.0,0,0,0.053551913995761424,0
16,8,0,2,decentr-06,3,1536,1536,16.809600281051942,29,1.0,0,0,0.053551913995761424,0
17,8,1,2,decentr-06,2,1024,1024,17.191227428129647,29,1.0,0,0,0.0597461849974934,0
18,9,0,2,decentr-06,3,1536,1536,16.82611808498927,29,1.0,0,0,0.0597461849974934,0
