epoch,local_train_loss,local_train_accuracy,local_train_macro_f1,samples_processed,duration_s,mixed_peer_updates,mixed_senders,dropped_peer_updates,dropped_peer_senders,drop_reasons,nonfinite_peer_updates,max_staleness,max_normalized_staleness,stale_mixed_peer_updates,hard_dropped_stale_peer_updates,pushes_sent,failed_pushes_total,push_elapsed_s,push_failed_targets,push_failure_reasons,window_count,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1,state_digest,last_step,windows,samples_per_s
1,2.410109081864357,0.130078125,0.1235167256410877,2560,353.0198628420185,6,"['decentr-03', 'decentr-04', 'decentr-05', 'decentr-12', 'decentr-13', 'decentr-14']",0,[],[],0,10,10.0,2,0,9,0,26.614433089998784,[],[],2,2.374243860626221,0.1272,0.055261906738128176,2.377212141418457,0.1236,0.054691644327758374,68ab5700ab670b8c87e0cdb991d0d6936e00a92b00468e5100f4e42063b00d20,80,"[{'window_id': 0, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 92.14063782501034}, {'window_id': 1, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 62.87336557198432}]",7.251716601412984
2,2.3586134016513824,0.142578125,0.12623709249858267,1024,264.9794226679951,5,"['decentr-02', 'decentr-10', 'decentr-11', 'decentr-18', 'decentr-20']",0,[],[],0,10,10.0,3,0,5,0,14.58795277698664,[],[],2,2.1709060791015626,0.1714,0.09042244963983517,2.1660166103363037,0.1689,0.08931357050318449,785006edac5cf7c3ba9c7376bb593c68c529807c41690914f7d89bba78166525,112,"[{'window_id': 2, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 32.01837554600206}, {'window_id': 3, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 34.840523693012074}]",3.8644510192137322
3,2.141852708160877,0.216015625,0.20827134513817142,2560,355.83192782400874,11,"['decentr-01', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-13', 'decentr-14', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,72,72.0,9,0,10,0,29.368265112949302,[],[],2,2.119079525375366,0.2148,0.14589593512515914,2.1099090274810792,0.2141,0.14686616389568577,7b4ded52c154aee27d498fcae23013851f32398d512fd6f10a6643eb158686a7,192,"[{'window_id': 4, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 122.94057712500216}, {'window_id': 5, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 35.0561981430219}]",7.194407808357638
4,2.0630140408873556,0.243359375,0.23747353357558243,2560,356.4489837779838,9,"['decentr-01', 'decentr-04', 'decentr-05', 'decentr-07', 'decentr-12', 'decentr-13', 'decentr-15', 'decentr-20']",0,[],[],0,90,90.0,7,0,10,0,29.314375469984952,[],[],2,1.9986040298461913,0.2322,0.18016289315227765,1.9835971466064453,0.2424,0.1805287176817298,330849808d47de5aa6e4d6665ca9265be3134473bb3f32e3f941b8a72f7ea33a,272,"[{'window_id': 6, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 123.68167786800768}, {'window_id': 7, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 34.65775691199815}]",7.181953425330874
5,1.9915416166186333,0.25703125,0.2546725381383431,2560,352.23024762800196,8,"['decentr-02', 'decentr-03', 'decentr-06', 'decentr-09', 'decentr-11', 'decentr-15', 'decentr-18', 'decentr-19']",0,[],[],0,30,30.0,6,0,9,0,26.075579535012366,[],[],2,1.940065629196167,0.3104,0.2773955802051454,1.9261623363494873,0.3235,0.28881126724844286,933924abc9931273bc82b08260215d666dbd3a64e823306e12969a0056fd5d73,352,"[{'window_id': 8, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 91.0335042180086}, {'window_id': 9, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 63.21651886100881}]",7.267973200029294
6,1.9218588083982469,0.29609375,0.28859482206981346,2560,355.07901026299805,8,"['decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-17', 'decentr-18']",0,[],[],0,70,70.0,7,0,10,0,28.970605388080003,[],[],2,1.7885241731643677,0.361,0.31712401829008846,1.7862156606674193,0.3674,0.32419339494355315,eb1c5f7ebd4d1f081bc7c31e2cb88f281f6630250255ddb76ed847b44c3f0ab9,432,"[{'window_id': 10, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 122.3235017459956}, {'window_id': 11, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 34.752059357997496}]",7.209662993326113
7,1.8164793973167737,0.3404947916666667,0.3325814687677385,3072,383.6530035310134,8,"['decentr-01', 'decentr-04', 'decentr-05', 'decentr-07', 'decentr-08', 'decentr-11', 'decentr-19', 'decentr-20']",0,[],[],0,100,100.0,8,0,11,0,31.91269215894863,[],[],2,1.8713063663482665,0.3026,0.24415457321984618,1.860775914955139,0.3102,0.254900543018974,aac8183557613efdd5b3b6be65d0186645ca4b89eee3443b0e5f45e2a8c6c4da,528,"[{'window_id': 12, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 122.57012987899361}, {'window_id': 13, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 62.46777072100667}]",8.007235631485598
8,1.804675032198429,0.344140625,0.3374386833813404,2560,358.04245152999647,12,"['decentr-02', 'decentr-03', 'decentr-04', 'decentr-06', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-12', 'decentr-14', 'decentr-15', 'decentr-17', 'decentr-18']",0,[],[],0,114,114.0,11,0,10,0,28.959371128992643,[],[],2,1.7666811672210694,0.366,0.33175037506473776,1.764308423805237,0.3657,0.3350252899330427,7644c6fc0d838f43249c1247693d8840d0d115ed6a3d1ab82833a5aedd576305,608,"[{'window_id': 14, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 126.74313056099345}, {'window_id': 15, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 31.315407215995947}]",7.149990145192394
9,1.7982758373022079,0.35546875,0.3421183762702963,2560,358.12757928701467,11,"['decentr-01', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-12', 'decentr-13', 'decentr-19', 'decentr-20']",0,[],[],0,168,168.0,11,0,10,0,29.418970369995805,[],[],2,1.7546171875,0.376,0.36638859138249397,1.7399864810943604,0.3762,0.367652835604677,2069ea5c44864aead6369a46a763f1213c1d75c58d014872ea047a9a07502098,688,"[{'window_id': 16, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 94.28253052002401}, {'window_id': 17, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 64.6254629890027}]",7.148290575935611
10,1.7199056997895241,0.38359375,0.37711644066552585,2560,355.53985781400115,8,"['decentr-03', 'decentr-07', 'decentr-09', 'decentr-11', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,170,170.0,8,0,10,0,29.147677837958327,[],[],2,1.7469462852478028,0.3632,0.31438885008722867,1.7390106782913208,0.3637,0.3167454621815734,9ad932eacb430b432edfff0a9f85fe19b5ae15d1c0c18f2dd4c01241b521b7bb,768,"[{'window_id': 18, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 95.00422680398333}, {'window_id': 19, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 61.811148518987466}]",7.200317893301434
