window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-02,3,1536,1536,4.0182251206971955,17,1.0,0,0,0.0,0
1,0,1,2,decentr-02,1,512,512,2.5160546093528775,17,1.0,0,0,0.00568702099553775,0
2,1,0,2,decentr-02,3,1536,1536,3.6382476732743116,17,1.0,0,0,0.00568702099553775,0
3,1,1,2,decentr-02,1,512,512,3.698817294853092,17,1.0,0,0,0.011642611003480852,0
4,2,0,2,decentr-02,3,1536,1536,3.6409912553871324,17,1.0,0,0,0.011642611003480852,0
5,2,1,2,decentr-02,1,512,512,2.6539647352543505,17,1.0,0,0,0.01775712100788951,0
6,3,0,2,decentr-02,3,1536,1536,4.241836508236169,17,1.0,0,0,0.01775712100788951,0
7,3,1,2,decentr-02,1,512,512,3.71662098787259,17,1.0,0,0,0.023345681009232067,0
8,4,0,2,decentr-02,3,1536,1536,3.692203040842059,17,1.0,0,0,0.023345681009232067,0
9,4,1,2,decentr-02,1,512,512,3.6439006485811616,17,1.0,0,0,0.03358221900998615,0
10,5,0,2,decentr-02,2,1024,1024,3.668247618963405,17,1.0,0,0,0.03358221900998615,0
11,5,1,2,decentr-02,1,512,512,3.7028058655301437,17,1.0,0,0,0.04343793801672291,0
12,6,0,2,decentr-02,3,1536,1536,3.657762140318738,17,1.0,0,0,0.04343793801672291,0
13,6,1,2,decentr-02,1,512,512,2.640309547996959,17,1.0,0,0,0.04924494502483867,0
14,7,0,2,decentr-02,3,1536,1536,4.203408851050083,17,1.0,0,0,0.04924494502483867,0
15,7,1,2,decentr-02,1,512,512,3.6642331248667914,17,1.0,0,0,0.05551823502173647,0
16,8,0,2,decentr-02,2,1024,1024,3.6228156408282075,17,1.0,0,0,0.05551823502173647,0
17,8,1,2,decentr-02,1,512,512,2.587457199676069,17,1.0,0,0,0.06287694402271882,0
18,9,0,2,decentr-02,2,1024,1024,3.652353261528439,17,1.0,0,0,0.06287694402271882,0
19,9,1,2,decentr-02,1,512,512,2.5834872752001257,17,1.0,0,0,0.07449927703419235,0
20,10,0,2,decentr-02,3,1536,1536,4.2322634113422986,17,1.0,0,0,0.07449927703419235,0
21,10,1,2,decentr-02,1,512,512,3.7182021432758536,17,1.0,0,0,0.08281581403571181,0
22,11,0,2,decentr-02,2,1024,1024,3.6783549085527336,17,1.0,0,0,0.08281581403571181,0
23,11,1,2,decentr-02,1,512,512,2.6401924505564933,17,1.0,0,0,0.09119065004051663,0
24,12,0,2,decentr-02,2,1024,1024,3.6662052258441715,17,1.0,0,0,0.09119065004051663,0
25,12,1,2,decentr-02,1,512,512,2.630708788947258,17,1.0,0,0,0.10026751903933473,0
26,13,0,2,decentr-02,3,1536,1536,4.277749051596586,17,1.0,0,0,0.10026751903933473,0
27,13,1,2,decentr-02,1,512,512,3.7532947558167846,17,1.0,0,0,0.10845879004045855,0
28,14,0,2,decentr-02,3,1536,1536,3.6844187383332803,17,1.0,0,0,0.10845879004045855,0
29,14,1,2,decentr-02,1,512,512,3.699164758276268,17,1.0,0,0,0.11943624203559011,0
30,15,0,2,decentr-02,3,1536,1536,4.271665888420453,17,1.0,0,0,0.11943624203559011,0
31,15,1,2,decentr-02,1,512,512,2.612743091439413,17,1.0,0,0,0.12800092504767235,0
32,16,0,2,decentr-02,2,1024,1024,3.6773878622999345,17,1.0,0,0,0.12800092504767235,0
33,16,1,2,decentr-02,1,512,512,2.6214966399909496,17,1.0,0,0,0.13596818604855798,0
34,17,0,2,decentr-02,3,1536,1536,4.287238456032935,17,1.0,0,0,0.13596818604855798,0
35,17,1,2,decentr-02,1,512,512,3.6892637301388054,17,1.0,0,0,0.1449721510434756,0
36,18,0,2,decentr-02,1,512,512,2.6337604591823696,17,1.0,0,0,0.1449721510434756,0
37,18,1,2,decentr-02,1,512,512,3.726276617800836,17,1.0,0,0,0.16241832004743628,0
38,19,0,2,decentr-02,2,1024,1024,3.6636516874238927,17,1.0,0,0,0.16241832004743628,0
39,19,1,2,decentr-02,1,512,512,3.6886740870655945,17,1.0,0,0,0.16943016104050912,0
40,20,0,2,decentr-02,2,1024,1024,3.6942503091038525,17,1.0,0,0,0.16943016104050912,0
41,20,1,2,decentr-02,2,1024,1024,3.6954366897878503,17,1.0,0,0,0.17801513403537683,0
42,21,0,2,decentr-02,2,1024,1024,3.7369325563964155,17,1.0,0,0,0.17801513403537683,0
43,21,1,2,decentr-02,1,512,512,3.7768609536544875,17,1.0,0,0,0.18632536103541497,0
44,22,0,2,decentr-02,3,1536,1536,3.6649331970266057,17,1.0,0,0,0.18632536103541497,0
45,22,1,2,decentr-02,1,512,512,2.64739116234938,17,1.0,0,0,0.19500279604108073,0
46,23,0,2,decentr-02,2,1024,1024,3.6682990061996117,17,1.0,0,0,0.19500279604108073,0
47,23,1,2,decentr-02,1,512,512,3.592304090654236,17,1.0,0,0,0.20287275603914168,0
48,24,0,2,decentr-02,2,1024,1024,3.654805703868053,17,1.0,0,0,0.20287275603914168,0
49,24,1,2,decentr-02,1,512,512,3.6934684297436227,17,1.0,0,0,0.21422361602890305,0
50,25,0,2,decentr-02,3,1536,1536,3.7007259724274295,17,1.0,0,0,0.21422361602890305,0
51,25,1,2,decentr-02,1,512,512,2.6551578078034774,17,1.0,0,0,0.22313915402628481,0
52,26,0,2,decentr-02,4,2048,2048,4.087582265306623,17,1.0,0,0,0.22313915402628481,0
53,26,1,2,decentr-02,1,512,512,2.6344839781728413,17,1.0,0,0,0.23205923402565531,0
54,27,0,2,decentr-02,3,1536,1536,4.226605997444417,17,1.0,0,0,0.23205923402565531,0
55,27,1,2,decentr-02,1,512,512,3.7490630360882093,17,1.0,0,0,0.24501843201869633,0
56,28,0,2,decentr-02,3,1536,1536,3.6676786017457554,17,1.0,0,0,0.24501843201869633,0
57,28,1,2,decentr-02,1,512,512,3.697092909113979,17,1.0,0,0,0.25368990101560485,0
58,29,0,2,decentr-02,3,1536,1536,4.246763438200106,17,1.0,0,0,0.25368990101560485,0
59,29,1,2,decentr-02,1,512,512,2.6386015942861922,17,1.0,0,0,0.26293202601664234,0
60,30,0,2,decentr-02,1,512,512,3.6431324372273863,17,1.0,0,0,0.26293202601664234,0
61,30,1,2,decentr-02,2,1024,1024,3.7277093907283447,17,1.0,0,0,0.2714750380255282,0
62,31,0,2,decentr-02,3,1536,1536,4.274998372340012,17,1.0,0,0,0.2714750380255282,0
63,31,1,2,decentr-02,1,512,512,3.7046230376132403,17,1.0,0,0,0.279576139015262,0
64,32,0,2,decentr-02,3,1536,1536,3.700890813744819,17,1.0,0,0,0.279576139015262,0
65,32,1,2,decentr-02,1,512,512,3.684999310498193,17,1.0,0,0,0.2884582430124283,0
66,33,0,2,decentr-02,2,1024,1024,3.6850938547814667,17,1.0,0,0,0.2884582430124283,0
67,33,1,2,decentr-02,1,512,512,3.694579465037264,17,1.0,0,0,0.2991791550157359,0
68,34,0,2,decentr-02,3,1536,1536,3.709495659680953,17,1.0,0,0,0.2991791550157359,0
69,34,1,2,decentr-02,1,512,512,2.6232134041806776,17,1.0,0,0,0.30726875401160214,0
70,35,0,2,decentr-02,2,1024,1024,3.7232398700279443,17,1.0,0,0,0.30726875401160214,0
71,35,1,2,decentr-02,1,512,512,3.688578040026927,17,1.0,0,0,0.3205171940207947,0
72,36,0,2,decentr-02,1,512,512,3.6664113943800127,17,1.0,0,0,0.3205171940207947,0
73,36,1,2,decentr-02,2,1024,1024,3.7664388476056136,17,1.0,0,0,0.3285150590236299,0
74,37,0,2,decentr-02,3,1536,1536,3.6817100667707567,17,1.0,0,0,0.3285150590236299,0
75,37,1,2,decentr-02,1,512,512,2.6684748828834968,17,1.0,0,0,0.337336963013513,0
76,38,0,2,decentr-02,1,512,512,3.6815492164349277,17,1.0,0,0,0.337336963013513,0
77,38,1,2,decentr-02,1,512,512,2.6113887588577205,17,1.0,0,0,0.3455507280159509,0
78,39,0,2,decentr-02,3,1536,1536,3.6924038884647357,17,1.0,0,0,0.3455507280159509,0
79,39,1,2,decentr-02,1,512,512,3.7272971355389726,17,1.0,0,0,0.37214786202821415,0
80,40,0,2,decentr-02,3,1536,1536,3.7303369160929565,17,1.0,0,0,0.37214786202821415,0
81,40,1,2,decentr-02,1,512,512,2.579852446466212,17,1.0,0,0,0.399968425030238,0
82,41,0,2,decentr-02,2,1024,1024,3.6882967848887045,17,1.0,0,0,0.399968425030238,0
83,41,1,2,decentr-02,1,512,512,3.763846240157628,17,1.0,0,0,0.40898267102602404,0
84,42,0,2,decentr-02,2,1024,1024,3.6903106100198095,17,1.0,0,0,0.40898267102602404,0
85,42,1,2,decentr-02,1,512,512,3.71787424687013,17,1.0,0,0,0.4253271910274634,0
86,43,0,2,decentr-02,2,1024,1024,3.6756728373601333,17,1.0,0,0,0.4253271910274634,0
87,43,1,2,decentr-02,1,512,512,3.65491125651738,17,1.0,0,0,0.43591826503688935,0
88,44,0,2,decentr-02,3,1536,1536,3.6807015606436106,17,1.0,0,0,0.43591826503688935,0
89,44,1,2,decentr-02,1,512,512,3.7721215036445135,17,1.0,0,0,0.44455357603146695,0
90,45,0,2,decentr-02,2,1024,1024,3.702359409314827,17,1.0,0,0,0.44455357603146695,0
91,45,1,2,decentr-02,1,512,512,3.7132357496600545,17,1.0,0,0,0.45361901803698856,0
92,46,0,2,decentr-02,3,1536,1536,3.6902297743696635,17,1.0,0,0,0.45361901803698856,0
93,46,1,2,decentr-02,1,512,512,2.703526877438065,17,1.0,0,0,0.463182053033961,0
94,47,0,2,decentr-02,2,1024,1024,3.705727150351551,17,1.0,0,0,0.463182053033961,0
95,47,1,2,decentr-02,1,512,512,3.694359278865618,17,1.0,0,0,0.47196322403033264,0
96,48,0,2,decentr-02,2,1024,1024,3.711390881473407,17,1.0,0,0,0.47196322403033264,0
97,48,1,2,decentr-02,1,512,512,3.7577489061931466,17,1.0,0,0,0.48404199004289694,0
98,49,0,2,decentr-02,2,1024,1024,3.7143860221092035,17,1.0,0,0,0.48404199004289694,0
99,49,1,2,decentr-02,1,512,512,3.7565229733127743,17,1.0,0,0,0.49655647203326225,0
