window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-12,3,1536,1536,4.128354101415611,37,1.0,0,0,0.0,0
1,0,1,2,decentr-12,1,512,512,2.5699769623058137,37,1.0,0,0,0.007589946035295725,0
2,1,0,2,decentr-12,5,2560,2560,4.014426763081081,37,1.0,0,0,0.007589946035295725,0
3,1,1,2,decentr-12,1,512,512,3.7721527560715975,37,1.0,0,0,0.014062275062315166,0
4,2,0,2,decentr-12,3,1536,1536,4.257575747946082,37,1.0,0,0,0.014062275062315166,0
5,2,1,2,decentr-12,1,512,512,2.66689831389892,37,1.0,0,0,0.0207291750703007,0
6,3,0,2,decentr-12,2,1024,1024,3.656033326002793,37,1.0,0,0,0.0207291750703007,0
7,3,1,2,decentr-12,2,1024,1024,3.7648001802441513,37,1.0,0,0,0.03072028810856864,0
8,4,0,2,decentr-12,3,1536,1536,3.686364596316387,37,1.0,0,0,0.03072028810856864,0
9,4,1,2,decentr-12,1,512,512,2.611872856859504,37,1.0,0,0,0.037294197070878,0
10,5,0,2,decentr-12,3,1536,1536,4.2720048429494435,37,1.0,0,0,0.037294197070878,0
11,5,1,2,decentr-12,1,512,512,3.717101091098134,37,1.0,0,0,0.0437829151051119,0
12,6,0,2,decentr-12,2,1024,1024,3.677479004159116,37,1.0,0,0,0.0437829151051119,0
13,6,1,2,decentr-12,2,1024,1024,3.7028598758179587,37,1.0,0,0,0.05110799608519301,0
14,7,0,2,decentr-12,3,1536,1536,4.166335286140896,37,1.0,0,0,0.05110799608519301,0
15,7,1,2,decentr-12,2,1024,1024,3.684716532677774,37,1.0,0,0,0.0617650510976091,0
16,8,0,2,decentr-12,2,1024,1024,3.6324877432663225,37,1.0,0,0,0.0617650510976091,0
17,8,1,2,decentr-12,2,1024,1024,3.6784213069908978,37,1.0,0,0,0.06824603711720556,0
18,9,0,2,decentr-12,3,1536,1536,3.6694554771019567,37,1.0,0,0,0.06824603711720556,0
19,9,1,2,decentr-12,1,512,512,3.6794917473778943,37,1.0,0,0,0.07472065708134323,0
20,10,0,2,decentr-12,3,1536,1536,3.684812515934579,37,1.0,0,0,0.07472065708134323,0
21,10,1,2,decentr-12,1,512,512,2.629782910151086,37,1.0,0,0,0.13604017707984895,0
22,11,0,2,decentr-12,3,1536,1536,4.27021169188815,37,1.0,0,0,0.13604017707984895,0
23,11,1,2,decentr-12,1,512,512,3.61823098078735,37,1.0,0,0,0.14190494507784024,0
24,12,0,2,decentr-12,4,2048,2048,4.077696231166013,37,1.0,0,0,0.14190494507784024,0
25,12,1,2,decentr-12,1,512,512,3.6526563984050675,37,1.0,0,0,0.15555601508822292,0
26,13,0,2,decentr-12,2,1024,1024,3.625963362034464,37,1.0,0,0,0.15555601508822292,0
27,13,1,2,decentr-12,2,1024,1024,3.6461981892980697,37,1.0,0,0,0.16373286611633375,0
28,14,0,2,decentr-12,3,1536,1536,4.193686083414611,37,1.0,0,0,0.16373286611633375,0
29,14,1,2,decentr-12,2,1024,1024,3.7048317364337118,37,1.0,0,0,0.16968107112916186,0
30,15,0,2,decentr-12,4,2048,2048,4.044056086287107,37,1.0,0,0,0.16968107112916186,0
31,15,1,2,decentr-12,1,512,512,3.6328209534379567,37,1.0,0,0,0.1788951841299422,0
32,16,0,2,decentr-12,3,1536,1536,4.227107594202793,37,1.0,0,0,0.1788951841299422,0
33,16,1,2,decentr-12,1,512,512,2.572671631218044,37,1.0,0,0,0.32125123409787193,0
34,17,0,2,decentr-12,2,1024,1024,3.6675266924988428,37,1.0,0,0,0.32125123409787193,0
35,17,1,2,decentr-12,2,1024,1024,3.6360315730555914,37,1.0,0,0,0.32786067412234843,0
36,18,0,2,decentr-12,2,1024,1024,3.700432589312145,37,1.0,0,0,0.32786067412234843,0
37,18,1,2,decentr-12,1,512,512,3.6306357405259853,37,1.0,0,0,0.33387710410170257,0
38,19,0,2,decentr-12,3,1536,1536,3.6358942160119136,37,1.0,0,0,0.33387710410170257,0
39,19,1,2,decentr-12,1,512,512,3.716419144040795,37,1.0,0,0,0.3441374650574289,0
40,20,0,2,decentr-12,2,1024,1024,3.5768121152498744,37,1.0,0,0,0.3441374650574289,0
41,20,1,2,decentr-12,1,512,512,3.6285696577174282,37,1.0,0,0,0.3539293510839343,0
42,21,0,2,decentr-12,2,1024,1024,3.6384072588514718,37,1.0,0,0,0.3539293510839343,0
43,21,1,2,decentr-12,1,512,512,3.663905099282565,37,1.0,0,0,0.36539576208451763,0
44,22,0,2,decentr-12,3,1536,1536,3.681067260861549,37,1.0,0,0,0.36539576208451763,0
45,22,1,2,decentr-12,1,512,512,3.659851655669409,37,1.0,0,0,0.38133344607194886,0
46,23,0,2,decentr-12,2,1024,1024,3.6735298521337065,37,1.0,0,0,0.38133344607194886,0
47,23,1,2,decentr-12,1,512,512,3.1972644825955236,37,1.0,0,0,0.3878377550863661,0
48,24,0,2,decentr-12,2,1024,1024,3.6826263332334337,37,1.0,0,0,0.3878377550863661,0
49,24,1,2,decentr-12,2,1024,1024,3.665003921895276,37,1.0,0,0,0.393881319090724,0
50,25,0,2,decentr-12,2,1024,1024,3.671268932905911,37,1.0,0,0,0.393881319090724,0
51,25,1,2,decentr-12,2,1024,1024,3.6826525663621346,37,1.0,0,0,0.4017358600976877,0
52,26,0,2,decentr-12,2,1024,1024,3.6137050772113817,37,1.0,0,0,0.4017358600976877,0
53,26,1,2,decentr-12,1,512,512,2.600245613816291,37,1.0,0,0,0.4079673081287183,0
54,27,0,2,decentr-12,2,1024,1024,3.6588378998607007,37,1.0,0,0,0.4079673081287183,0
