epoch,local_train_loss,local_train_accuracy,local_train_macro_f1,samples_processed,duration_s,mixed_peer_updates,mixed_senders,dropped_peer_updates,dropped_peer_senders,drop_reasons,nonfinite_peer_updates,max_staleness,max_normalized_staleness,stale_mixed_peer_updates,hard_dropped_stale_peer_updates,pushes_sent,failed_pushes_total,push_elapsed_s,push_failed_targets,push_failure_reasons,window_count,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1,state_digest,last_step,windows,samples_per_s
1,2.438642457127571,0.1171875,0.11674451007202842,2048,404.34456084499834,25,"['decentr-01', 'decentr-02', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,10,10.0,1,0,32,0,103.83568050796748,[],[],2,2.2316907279968263,0.1558,0.07561319378079598,2.2278340732574464,0.162,0.07705232807214787,74e6ca867a6dbccd905ea2882c2d3b4c296228faf5d6e1790e68222dcc846da8,64,"[{'window_id': 0, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 146.29931753198616}, {'window_id': 1, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 62.06140185199911}]",5.064987137999567
2,2.2606222182512283,0.15950520833333334,0.15364257162648093,1536,349.396269438992,29,"['decentr-01', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,26,26.0,18,0,24,0,69.62439212194295,[],[],2,2.080415394592285,0.2518,0.20844049574943974,2.0771807817459105,0.2597,0.21756419210840497,769746573baba7fce76dc2632f9589d0059d496582aaec6d57d3056523fdaaf8,112,"[{'window_id': 2, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.407261820015265}, {'window_id': 3, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 101.43425302000833}]",4.396154551009596
3,2.1103290244936943,0.2080078125,0.2046075445513106,2048,384.21009393400163,29,"['decentr-01', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,80,80.0,16,0,28,0,81.54845508211292,[],[],2,1.9946352657318116,0.263,0.23212617897945273,1.987216582107544,0.2809,0.2446582135703636,96509ff561c40f7cb6ad73f173b2f53bd6380f86e3517359465a4f3776c50461,176,"[{'window_id': 4, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 137.50782732700463}, {'window_id': 5, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.1422051450063}]",5.330416957634119
4,2.0545493364334106,0.228515625,0.2176057988492281,1536,357.79170702499687,21,"['decentr-02', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,80,80.0,15,0,28,0,80.94063242294942,[],[],2,1.947733395385742,0.2698,0.20638017339563608,1.9439796699523926,0.2678,0.20539693840622575,86e2cfc7d680e5ede629f644a67983ebb475755dfb2f3c546be2524b979b170b,224,"[{'window_id': 6, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 98.39238850300899}, {'window_id': 7, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 61.292829300015}]",4.293000563852332
5,2.034356478601694,0.2490234375,0.23976672685072228,1024,300.02518554602284,19,"['decentr-02', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,96,96.0,15,0,16,0,46.401408283010824,[],[],2,2.0235866100311277,0.2764,0.21938441062091624,2.0125082260131837,0.2702,0.2172304507476548,f5bd738f4430bd71217826a0419694996ae64c2051812fdf10b7ff014eaa1755,256,"[{'window_id': 8, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 51.20470236800611}, {'window_id': 9, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 49.160690566990525}]",3.4130468018423135
6,1.9692301243543624,0.2625,0.2593179080399336,2560,431.6802810750087,32,"['decentr-02', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,100,100.0,30,0,36,0,104.07149378198665,[],[],2,1.941341280555725,0.2754,0.21994416111985754,1.9259672981262208,0.2906,0.22995380113448288,b35295d9059bc461192a0fa751125b8f553768aa0e81ce286175a779b466c871,336,"[{'window_id': 10, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 184.92541812799755}, {'window_id': 11, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 50.45851391297765}]",5.930314893292925
7,1.862173507610957,0.3203125,0.30985777345820453,1536,357.25480157797574,19,"['decentr-02', 'decentr-04', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,92,92.0,19,0,28,0,81.692488522036,[],[],2,1.902881252670288,0.3044,0.25256664759976577,1.8861273735046387,0.3126,0.26022629719116197,10ca39e2f4f5b5c95b5c702707a0ea2ce32ba34576af5c97c748a846d333ee09,384,"[{'window_id': 12, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 99.81204207098926}, {'window_id': 13, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 60.83963699100423}]",4.299452360655668
8,1.8798432033509016,0.302734375,0.29715793815151226,2048,392.3678830479912,16,"['decentr-02', 'decentr-04', 'decentr-05', 'decentr-07', 'decentr-08', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-15', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,98,98.0,16,0,32,0,91.98016890711733,[],[],2,1.9123995727539063,0.2902,0.2468767421993093,1.8972136224746705,0.2974,0.2552195697890792,c8d45dc0ba6054902e506bed227d0668142d23fd08e72f65d7d84a481a04ba15,448,"[{'window_id': 14, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 146.3780351880123}, {'window_id': 15, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 48.83769131998997}]",5.219591328654964
9,1.7961795646697283,0.32177734375,0.3204104598417086,2048,402.0402229229803,12,"['decentr-02', 'decentr-09', 'decentr-10', 'decentr-12', 'decentr-15', 'decentr-19']",0,[],[],0,94,94.0,12,0,36,0,102.62953915199614,[],[],2,1.8099959007263184,0.3446,0.32734450665709525,1.7945335973739625,0.3486,0.3305733387676283,c46e96242e5775f4585bff23b252c594971b21298331c15d3cd044816a31e0df,512,"[{'window_id': 16, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 144.31837768800324}, {'window_id': 17, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 60.549125051999}]",5.094017670944182
10,1.838240022957325,0.313671875,0.31184589754114544,2560,442.5897902720026,14,"['decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-13', 'decentr-15', 'decentr-18', 'decentr-19', 'decentr-20']",0,[],[],0,100,100.0,14,0,40,0,114.82204853396979,[],[],2,1.7325894081115722,0.3676,0.3253062696218176,1.7178534099578857,0.3783,0.3375415721009206,0f525c9249126ae2106203fa0bb9ca717174e9397a3f2e0488df64a0f8e10ad4,592,"[{'window_id': 18, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 182.48642715101596}, {'window_id': 19, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 60.79276151600061}]",5.784137041269524
