window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-06,3,1536,1536,11.122133616187833,29,1.0,0,0,0.0,0
1,0,1,2,decentr-06,1,512,512,8.183117591804773,29,1.0,0,0,0.00650067999958992,0
2,1,0,2,decentr-06,3,1536,1536,10.622250059398501,29,1.0,0,0,0.00650067999958992,0
3,1,1,2,decentr-06,1,512,512,10.59086883907933,29,1.0,0,0,0.017461611016187817,0
4,2,0,2,decentr-06,3,1536,1536,10.573001254160136,29,1.0,0,0,0.017461611016187817,0
5,2,1,2,decentr-06,2,1024,1024,10.604065556708242,29,1.0,0,0,0.02777277902350761,0
6,3,0,2,decentr-06,4,2048,2048,10.60436197648459,29,1.0,0,0,0.02777277902350761,0
7,3,1,2,decentr-06,1,512,512,10.644943639513004,29,1.0,0,0,0.036459977040067315,0
8,4,0,2,decentr-06,4,2048,2048,10.610488803533851,29,1.0,0,0,0.036459977040067315,0
9,4,1,2,decentr-06,1,512,512,10.8594577643963,29,1.0,0,0,0.042779690033057705,0
10,5,0,2,decentr-06,1,512,512,8.506207665413424,29,1.0,0,0,0.042779690033057705,0
11,5,1,2,decentr-06,1,512,512,10.802549380289536,29,1.0,0,0,0.048722346051363274,0
12,6,0,2,decentr-06,4,2048,2048,11.553970748067806,29,1.0,0,0,0.048722346051363274,0
13,6,1,2,decentr-06,1,512,512,10.759788347939299,29,1.0,0,0,0.0549179220397491,0
14,7,0,2,decentr-06,4,2048,2048,11.326244432854892,29,1.0,0,0,0.0549179220397491,0
15,7,1,2,decentr-06,1,512,512,10.847867740864762,29,1.0,0,0,0.06087066303007305,0
16,8,0,2,decentr-06,1,512,512,10.410033358552662,29,1.0,0,0,0.06087066303007305,0
17,8,1,2,decentr-06,2,1024,1024,10.882894641111,29,1.0,0,0,0.06814134001615457,0
18,9,0,2,decentr-06,3,1536,1536,10.837324136289256,29,1.0,0,0,0.06814134001615457,0
19,9,1,2,decentr-06,2,1024,1024,10.48902411545568,29,1.0,0,0,0.07409056200413033,0
20,10,0,2,decentr-06,3,1536,1536,10.501428244247807,29,1.0,0,0,0.07409056200413033,0
21,10,1,2,decentr-06,2,1024,1024,10.610726452697511,29,1.0,0,0,0.080475436989218,0
22,11,0,2,decentr-06,3,1536,1536,10.79094068266584,29,1.0,0,0,0.080475436989218,0
23,11,1,2,decentr-06,2,1024,1024,10.862682171792752,29,1.0,0,0,0.08659732199157588,0
24,12,0,2,decentr-06,4,2048,2048,10.862360253832327,29,1.0,0,0,0.08659732199157588,0
25,12,1,2,decentr-06,1,512,512,10.941750495012915,29,1.0,0,0,0.09446227000444196,0
26,13,0,2,decentr-06,3,1536,1536,10.42012563060787,29,1.0,0,0,0.09446227000444196,0
27,13,1,2,decentr-06,1,512,512,8.451573608076382,29,1.0,0,0,0.10232249399996363,0
28,14,0,2,decentr-06,4,2048,2048,11.414733893075578,29,1.0,0,0,0.10232249399996363,0
29,14,1,2,decentr-06,1,512,512,8.3698797053605,29,1.0,0,0,0.11226229500607587,0
30,15,0,2,decentr-06,4,2048,2048,11.435388510613867,29,1.0,0,0,0.11226229500607587,0
31,15,1,2,decentr-06,1,512,512,8.564888609843946,29,1.0,0,0,0.11843014002079144,0
32,16,0,2,decentr-06,3,1536,1536,11.773898928928169,29,1.0,0,0,0.11843014002079144,0
33,16,1,2,decentr-06,1,512,512,10.465325502273654,29,1.0,0,0,0.1261984340089839,0
34,17,0,2,decentr-06,2,1024,1024,10.87666009262628,29,1.0,0,0,0.1261984340089839,0
35,17,1,2,decentr-06,2,1024,1024,10.667347624359149,29,1.0,0,0,0.13270548800937831,0
36,18,0,2,decentr-06,3,1536,1536,11.71996875505721,29,1.0,0,0,0.13270548800937831,0
37,18,1,2,decentr-06,2,1024,1024,10.893774330857154,29,1.0,0,0,0.13877075901837088,0
