window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-06,3,1536,1536,11.060889641132295,29,1.0,0,0,0.0,0
1,0,1,2,decentr-06,1,512,512,8.3595205940886,29,1.0,0,0,0.005926545010879636,0
2,1,0,2,decentr-06,3,1536,1536,10.631526601991325,29,1.0,0,0,0.005926545010879636,0
3,1,1,2,decentr-06,1,512,512,10.448855526601694,29,1.0,0,0,0.011522794986376539,0
4,2,0,2,decentr-06,3,1536,1536,10.62683496231998,29,1.0,0,0,0.011522794986376539,0
5,2,1,2,decentr-06,2,1024,1024,10.623782453764798,29,1.0,0,0,0.01756928500253707,0
6,3,0,2,decentr-06,4,2048,2048,10.660809194882642,29,1.0,0,0,0.01756928500253707,0
7,3,1,2,decentr-06,1,512,512,10.407865408970494,29,1.0,0,0,0.02409864100627601,0
8,4,0,2,decentr-06,5,2560,2560,11.207771190857354,29,1.0,0,0,0.02409864100627601,0
9,4,1,2,decentr-06,1,512,512,8.385720169396052,29,1.0,0,0,0.03187449200777337,0
10,5,0,2,decentr-06,2,1024,1024,10.595570448556526,29,1.0,0,0,0.03187449200777337,0
11,5,1,2,decentr-06,1,512,512,8.62336372800436,29,1.0,0,0,0.03746675301226787,0
12,6,0,2,decentr-06,3,1536,1536,11.664936086594075,29,1.0,0,0,0.03746675301226787,0
13,6,1,2,decentr-06,1,512,512,11.092235200277834,29,1.0,0,0,0.043417417007731274,0
14,7,0,2,decentr-06,3,1536,1536,10.88906640559055,29,1.0,0,0,0.043417417007731274,0
15,7,1,2,decentr-06,1,512,512,10.777851381196752,29,1.0,0,0,0.04925353100406937,0
16,8,0,2,decentr-06,1,512,512,10.50691270057458,29,1.0,0,0,0.04925353100406937,0
17,8,1,2,decentr-06,2,1024,1024,10.775124665646143,29,1.0,0,0,0.055312368989689276,0
18,9,0,2,decentr-06,1,512,512,8.460104273787932,29,1.0,0,0,0.055312368989689276,0
19,9,1,2,decentr-06,2,1024,1024,10.654788642250724,29,1.0,0,0,0.061596446990733966,0
20,10,0,2,decentr-06,2,1024,1024,10.80264408293618,29,1.0,0,0,0.061596446990733966,0
21,10,1,2,decentr-06,2,1024,1024,10.48443466235159,29,1.0,0,0,0.06788073299685493,0
22,11,0,2,decentr-06,3,1536,1536,11.889009334777734,29,1.0,0,0,0.06788073299685493,0
23,11,1,2,decentr-06,2,1024,1024,10.728951650065683,29,1.0,0,0,0.0740409670106601,0
24,12,0,2,decentr-06,3,1536,1536,11.819794123873315,29,1.0,0,0,0.0740409670106601,0
25,12,1,2,decentr-06,1,512,512,8.941153622521277,29,1.0,0,0,0.08005771500756964,0
26,13,0,2,decentr-06,4,2048,2048,11.56282680086264,29,1.0,0,0,0.08005771500756964,0
27,13,1,2,decentr-06,1,512,512,8.87326588323403,29,1.0,0,0,0.0863957469991874,0
28,14,0,2,decentr-06,4,2048,2048,11.657840408971596,29,1.0,0,0,0.0863957469991874,0
29,14,1,2,decentr-06,1,512,512,8.85351948005084,29,1.0,0,0,0.09242189300130121,0
30,15,0,2,decentr-06,5,2560,2560,11.252454108560553,29,1.0,0,0,0.09242189300130121,0
31,15,1,2,decentr-06,1,512,512,10.839246218132063,29,1.0,0,0,0.09840611199615523,0
32,16,0,2,decentr-06,3,1536,1536,11.53436905317155,29,1.0,0,0,0.09840611199615523,0
33,16,1,2,decentr-06,1,512,512,8.530839309194707,29,1.0,0,0,0.1044842239934951,0
34,17,0,2,decentr-06,2,1024,1024,10.740117939224682,29,1.0,0,0,0.1044842239934951,0
35,17,1,2,decentr-06,2,1024,1024,10.61447658083853,29,1.0,0,0,0.11076160898664966,0
36,18,0,2,decentr-06,4,2048,2048,10.625589690638824,29,1.0,0,0,0.11076160898664966,0
37,18,1,2,decentr-06,2,1024,1024,10.879490331436473,29,1.0,0,0,0.11723995697684586,0
38,19,0,2,decentr-06,4,2048,2048,11.40464923540877,29,1.0,0,0,0.11723995697684586,0
39,19,1,2,decentr-06,1,512,512,8.750973083786135,29,1.0,0,0,0.12351651498465799,0
40,20,0,2,decentr-06,3,1536,1536,10.825967254423324,29,1.0,0,0,0.12351651498465799,0
41,20,1,2,decentr-06,2,1024,1024,10.842565880049806,29,1.0,0,0,0.12910057697445154,0
42,21,0,2,decentr-06,3,1536,1536,10.910931912801727,29,1.0,0,0,0.12910057697445154,0
43,21,1,2,decentr-06,1,512,512,10.877517235320715,29,1.0,0,0,0.1345977229939308,0
44,22,0,2,decentr-06,4,2048,2048,10.853831222455266,29,1.0,0,0,0.1345977229939308,0
45,22,1,2,decentr-06,1,512,512,10.757801441864546,29,1.0,0,0,0.14077474499936216,0
46,23,0,2,decentr-06,4,2048,2048,10.921562420050947,29,1.0,0,0,0.14077474499936216,0
47,23,1,2,decentr-06,1,512,512,10.88566027736424,29,1.0,0,0,0.14714644401101395,0
48,24,0,2,decentr-06,4,2048,2048,10.782284308867965,29,1.0,0,0,0.14714644401101395,0
49,24,1,2,decentr-06,1,512,512,10.871837462112337,29,1.0,0,0,0.152554874017369,0
50,25,0,2,decentr-06,3,1536,1536,10.633633304817371,29,1.0,0,0,0.152554874017369,0
51,25,1,2,decentr-06,2,1024,1024,10.880669473144682,29,1.0,0,0,0.16070913700968958,0
52,26,0,2,decentr-06,3,1536,1536,10.781874523799235,29,1.0,0,0,0.16070913700968958,0
53,26,1,2,decentr-06,2,1024,1024,10.836581685223171,29,1.0,0,0,0.16699537800741382,0
54,27,0,2,decentr-06,3,1536,1536,10.759186690750004,29,1.0,0,0,0.16699537800741382,0
55,27,1,2,decentr-06,1,512,512,8.777721112993513,29,1.0,0,0,0.17579638899769634,0
56,28,0,2,decentr-06,2,1024,1024,10.893270219416854,29,1.0,0,0,0.17579638899769634,0
57,28,1,2,decentr-06,2,1024,1024,10.897499302239307,29,1.0,0,0,0.18209194601513445,0
58,29,0,2,decentr-06,4,2048,2048,11.703690171462519,29,1.0,0,0,0.18209194601513445,0
59,29,1,2,decentr-06,1,512,512,10.940107938003234,29,1.0,0,0,0.19093404500745237,0
60,30,0,2,decentr-06,3,1536,1536,10.867101472952072,29,1.0,0,0,0.19093404500745237,0
61,30,1,2,decentr-06,2,1024,1024,10.716815506720474,29,1.0,0,0,0.19744821600033902,0
62,31,0,2,decentr-06,4,2048,2048,11.538328340674076,29,1.0,0,0,0.19744821600033902,0
63,31,1,2,decentr-06,1,512,512,10.685383676020168,29,1.0,0,0,0.20370154699776322,0
64,32,0,2,decentr-06,3,1536,1536,10.836227236170584,29,1.0,0,0,0.20370154699776322,0
65,32,1,2,decentr-06,1,512,512,10.70219484165188,29,1.0,0,0,0.21031952899647877,0
66,33,0,2,decentr-06,5,2560,2560,11.862144830316936,29,1.0,0,0,0.21031952899647877,0
67,33,1,2,decentr-06,1,512,512,10.930788576745073,29,1.0,0,0,0.2166219060018193,0
68,34,0,2,decentr-06,4,2048,2048,11.541013897516235,29,1.0,0,0,0.2166219060018193,0
69,34,1,2,decentr-06,1,512,512,10.773178878640152,29,1.0,0,0,0.22289917699526995,0
70,35,0,2,decentr-06,4,2048,2048,11.48967632647304,29,1.0,0,0,0.22289917699526995,0
71,35,1,2,decentr-06,1,512,512,10.807839791789204,29,1.0,0,0,0.22943836901686154,0
72,36,0,2,decentr-06,3,1536,1536,10.815095507382734,29,1.0,0,0,0.22943836901686154,0
73,36,1,2,decentr-06,1,512,512,10.892022758222481,29,1.0,0,0,0.23562583900638856,0
74,37,0,2,decentr-06,2,1024,1024,10.790848980143542,29,1.0,0,0,0.23562583900638856,0
75,37,1,2,decentr-06,1,512,512,10.625142711788783,29,1.0,0,0,0.243106270005228,0
76,38,0,2,decentr-06,4,2048,2048,10.801208956773118,29,1.0,0,0,0.243106270005228,0
77,38,1,2,decentr-06,1,512,512,10.715670544278597,29,1.0,0,0,0.25830980500904843,0
78,39,0,2,decentr-06,4,2048,2048,10.726691261107224,29,1.0,0,0,0.25830980500904843,0
79,39,1,2,decentr-06,1,512,512,10.726249153453757,29,1.0,0,0,0.2684270110039506,0
80,40,0,2,decentr-06,3,1536,1536,10.651486259579716,29,1.0,0,0,0.2684270110039506,0
81,40,1,2,decentr-06,2,1024,1024,10.581949923448066,29,1.0,0,0,0.2745442260056734,0
82,41,0,2,decentr-06,4,2048,2048,10.526106416690148,29,1.0,0,0,0.2745442260056734,0
83,41,1,2,decentr-06,1,512,512,10.902964432637761,29,1.0,0,0,0.2803718319919426,0
84,42,0,2,decentr-06,5,2560,2560,11.144896708321719,29,1.0,0,0,0.2803718319919426,0
