epoch,local_train_loss,local_train_accuracy,local_train_macro_f1,samples_processed,duration_s,mixed_peer_updates,mixed_senders,dropped_peer_updates,dropped_peer_senders,drop_reasons,nonfinite_peer_updates,max_staleness,max_normalized_staleness,stale_mixed_peer_updates,hard_dropped_stale_peer_updates,pushes_sent,failed_pushes_total,push_elapsed_s,push_failed_targets,push_failure_reasons,window_count,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1,state_digest,last_step,windows,samples_per_s
1,2.4381699830293657,0.13203125,0.12683750079716552,2560,435.905423846998,37,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,10,10.0,10,0,36,0,108.6542681599094,[],[],2,2.430068665313721,0.1364,0.06356109398265822,2.439918336868286,0.139,0.06294698729218848,e4cb645de88adea2bda905152be7780862be96df61ec68046d1027b5e63704b0,80,"[{'window_id': 0, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 137.49560798201128}, {'window_id': 1, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 104.3848357280076}]",5.8728335550570145
2,2.288624804466963,0.162109375,0.1572739610986195,1024,308.0906457679812,17,"['decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-14', 'decentr-15', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,14,14.0,9,0,20,0,58.95886502900976,[],[],2,2.0985585803985596,0.2004,0.13524006789697013,2.094405319595337,0.2035,0.1377305523413393,32f6492dc5be570a9dc85bd04796f9202dbcecf79e02e115fd5db0481b0c63c1,112,"[{'window_id': 2, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 49.957557378016645}, {'window_id': 3, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 62.05787378700916}]",3.323697145843111
3,2.103571879863739,0.221484375,0.2147192691526437,2560,443.1499488999834,34,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,60,60.0,22,0,40,0,116.22964993593632,[],[],2,1.9689969230651856,0.2794,0.23594645816667387,1.9599854412078856,0.2756,0.23346374257948987,5c751a0a00660db375c90cff38cfef290491d31be54fb0015fce75075b50aba2,192,"[{'window_id': 4, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 184.96138928900473}, {'window_id': 5, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 61.59403254100471}]",5.7768256689515685
4,2.0391725599765778,0.237890625,0.23459072827259203,2560,442.6574524269963,35,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,90,90.0,28,0,40,0,115.44080725612002,[],[],2,1.932740546798706,0.2858,0.2437577888287954,1.9262643781661988,0.2868,0.24541533936069843,cd61b8768dd70bb67959685c5c5f84724a97338787b2af92872f6b7a2a854bf1,272,"[{'window_id': 6, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 184.40101202300866}, {'window_id': 7, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 61.10821260299417}]",5.783252910267446
5,1.9690656989812851,0.276953125,0.2705906451504382,2560,444.38814232699224,36,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,90,90.0,33,0,40,0,116.08521792001557,[],[],2,1.9183496900558472,0.3032,0.26004342672085384,1.9125942893981933,0.3099,0.26845907635554184,e338d1747f2283e2c44b9f7c112731d3163fdc8c6291a7dd69d67c5176f6d1c6,352,"[{'window_id': 8, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 186.2287742869812}, {'window_id': 9, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 60.89211325900396}]",5.760729767889004
6,1.8983038427929084,0.2939453125,0.2872041109729435,3072,475.21912524697836,25,"['decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-14', 'decentr-16', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,120,120.0,23,0,44,0,125.3679154960555,[],[],2,1.8261641822814942,0.3292,0.26775576654879485,1.8135735382080078,0.3415,0.2775603600087438,297410f25ce370810af2f4d02749cb5ad71152ba4f9b6212a8503bc5d9449612,448,"[{'window_id': 10, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 180.49727473099483}, {'window_id': 11, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 97.54360308399191}]",6.464386294224662
7,1.8415031433105469,0.315234375,0.3103299195124142,2560,439.6361771360098,27,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-07', 'decentr-08', 'decentr-10', 'decentr-12', 'decentr-13', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,120,120.0,25,0,40,0,114.98831221292494,[],[],2,1.8766449432373047,0.2886,0.2564069941048087,1.8758627550125122,0.2892,0.25552469343534884,b0a183e9cd1f3efce1d87f4e3dcf7cd8ad3f244cfab070794eaf1e969f368a64,528,"[{'window_id': 12, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 3, 'samples_processed': 1536, 'duration_s': 146.5167639729916}, {'window_id': 13, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 96.80630637300783}]",5.822996680293705
8,1.787528508901596,0.34921875,0.34319206933321245,2560,442.75511589902453,33,"['decentr-01', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-07', 'decentr-09', 'decentr-11', 'decentr-12', 'decentr-16']",0,[],[],0,120,120.0,30,0,40,0,114.93810980702983,[],[],2,1.9910926521301269,0.3258,0.26177405274189974,1.9984079988479615,0.3178,0.253802681871742,cdbd7211a245ac94ade2c5b44073e5df38ed9b6c57834a3f284b2e1cf7d681f6,608,"[{'window_id': 14, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 198.04724184900988}, {'window_id': 15, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 48.73121210001409}]",5.781977233175184
9,1.7485757108245576,0.3627232142857143,0.357395470998145,3584,527.226195878,38,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-08', 'decentr-09', 'decentr-13', 'decentr-17', 'decentr-19', 'decentr-20']",0,[],[],0,138,138.0,38,0,52,0,150.15386172608123,[],[],2,1.79521416683197,0.3592,0.33831315251395006,1.796161545753479,0.3562,0.3359659592989631,d18d96799ffe8148bdbc3a04d74f0164f649168cccb31a42f1ff0727baeb4b48,720,"[{'window_id': 16, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 5, 'samples_processed': 2560, 'duration_s': 233.5094940419949}, {'window_id': 17, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 98.88553371201851}]",6.79784128334423
10,1.7173509895801544,0.365625,0.3617980497912501,2560,429.0662890190142,26,"['decentr-01', 'decentr-02', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-10', 'decentr-13', 'decentr-16', 'decentr-17', 'decentr-19']",0,[],[],0,140,140.0,26,0,36,0,104.42140434202156,[],[],2,1.7450616441726685,0.3736,0.32005396368448724,1.7407269102096559,0.3871,0.334665968242315,1df8a21d5da89fd4daaabb4097d4b9eca5ea59fa1f75c86b7fb744278eb7bea9,800,"[{'window_id': 18, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 183.54880485599278}, {'window_id': 19, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 49.52969790599309}]",5.966444033282122
